county,office,district,party,candidate,votes
Hennepin,President,,WI,WRITE-IN,2073
Hennepin,U.S. Senate,,CP,,1649
Hennepin,U.S. Senate,,DFL,Al Franken,329616
Hennepin,U.S. Senate,,IND,Dean Barkley,84912
Hennepin,U.S. Senate,,LIB,,3019
Hennepin,U.S. Senate,,R,Norm Coleman,237712
Hennepin,U.S. Senate,,WI,WRITE-IN,626
Houston,President,,CP,,28
Houston,President,,DFL,Barack Obama,5906
Houston,President,,GP,Cynthia McKinney,22
Houston,President,,IND,Ralph Nader,123
Houston,President,,LIB,Bob Barr,25
Houston,President,,R,John McCain,4743
Houston,President,,SWP,,3
Houston,President,,WI,WRITE-IN,33
Houston,U.S. Senate,,CP,,30
Houston,U.S. Senate,,DFL,Al Franken,4597
Houston,U.S. Senate,,IND,Dean Barkley,942
Houston,U.S. Senate,,LIB,,74
Houston,U.S. Senate,,R,Norm Coleman,5027
Houston,U.S. Senate,,WI,WRITE-IN,4
Hubbard,President,,CP,,25
Hubbard,President,,DFL,Barack Obama,4872
Hubbard,President,,GP,Cynthia McKinney,24
Hubbard,President,,IND,Ralph Nader,101
Hubbard,President,,LIB,Bob Barr,29
Hubbard,President,,R,John McCain,6558
Hubbard,President,,SWP,,4
Hubbard,President,,WI,WRITE-IN,25
Hubbard,U.S. Senate,,CP,,38
Hubbard,U.S. Senate,,DFL,Al Franken,4024
Hubbard,U.S. Senate,,IND,Dean Barkley,1692
Hubbard,U.S. Senate,,LIB,,57
Hubbard,U.S. Senate,,R,Norm Coleman,5751
Hubbard,U.S. Senate,,WI,WRITE-IN,10
Isanti,President,,CP,,43
Isanti,President,,DFL,Barack Obama,8248
Isanti,President,,GP,Cynthia McKinney,32
Isanti,President,,IND,Ralph Nader,282
Isanti,President,,LIB,Bob Barr,51
Isanti,President,,R,John McCain,11324
Isanti,President,,SWP,,6
Isanti,President,,WI,WRITE-IN,67
Isanti,U.S. Senate,,CP,,60
Isanti,U.S. Senate,,DFL,Al Franken,6557
Isanti,U.S. Senate,,IND,Dean Barkley,3648
Isanti,U.S. Senate,,LIB,,96
Isanti,U.S. Senate,,R,Norm Coleman,9564
Isanti,U.S. Senate,,WI,WRITE-IN,17
Itasca,President,,CP,,96
Itasca,President,,DFL,Barack Obama,13460
Itasca,President,,GP,Cynthia McKinney,37
Itasca,President,,IND,Ralph Nader,333
Itasca,President,,LIB,Bob Barr,65
Itasca,President,,R,John McCain,10309
Itasca,President,,SWP,,3
Itasca,President,,WI,WRITE-IN,92
Itasca,U.S. Senate,,CP,,126
Itasca,U.S. Senate,,DFL,Al Franken,11544
Itasca,U.S. Senate,,IND,Dean Barkley,3183
Itasca,U.S. Senate,,LIB,,112
Itasca,U.S. Senate,,R,Norm Coleman,9263
Itasca,U.S. Senate,,WI,WRITE-IN,14
Jackson,President,,CP,,20
Jackson,President,,DFL,Barack Obama,2618
Jackson,President,,GP,Cynthia McKinney,19
Jackson,President,,IND,Ralph Nader,62
Jackson,President,,LIB,Bob Barr,26
Jackson,President,,R,John McCain,2858
Jackson,President,,SWP,,4
Jackson,President,,WI,WRITE-IN,16
Jackson,U.S. Senate,,CP,,23
Jackson,U.S. Senate,,DFL,Al Franken,2145
Jackson,U.S. Senate,,IND,Dean Barkley,930
Jackson,U.S. Senate,,LIB,,44
Jackson,U.S. Senate,,R,Norm Coleman,2478
Jackson,U.S. Senate,,WI,WRITE-IN,1
Kanabec,President,,CP,,39
Kanabec,President,,DFL,Barack Obama,3743
Kanabec,President,,GP,Cynthia McKinney,31
Kanabec,President,,IND,Ralph Nader,142
Kanabec,President,,LIB,Bob Barr,33
Kanabec,President,,R,John McCain,4479
Kanabec,President,,SWP,,7
Kanabec,President,,WI,WRITE-IN,25
Kanabec,U.S. Senate,,CP,,50
Kanabec,U.S. Senate,,DFL,Al Franken,2980
Kanabec,U.S. Senate,,IND,Dean Barkley,1631
Kanabec,U.S. Senate,,LIB,,44
Kanabec,U.S. Senate,,R,Norm Coleman,3745
Kanabec,U.S. Senate,,WI,WRITE-IN,4
Kandiyohi,President,,CP,,61
Kandiyohi,President,,DFL,Barack Obama,10125
Kandiyohi,President,,GP,Cynthia McKinney,37
Kandiyohi,President,,IND,Ralph Nader,225
Kandiyohi,President,,LIB,Bob Barr,73
Kandiyohi,President,,R,John McCain,11319
Kandiyohi,President,,SWP,,6
Kandiyohi,President,,WI,WRITE-IN,49
Kandiyohi,U.S. Senate,,CP,,59
Kandiyohi,U.S. Senate,,DFL,Al Franken,8007
Kandiyohi,U.S. Senate,,IND,Dean Barkley,3378
Kandiyohi,U.S. Senate,,LIB,,84
Kandiyohi,U.S. Senate,,R,Norm Coleman,10246
Kandiyohi,U.S. Senate,,WI,WRITE-IN,10
Kittson,President,,CP,,4
Kittson,President,,DFL,Barack Obama,1492
Kittson,President,,GP,Cynthia McKinney,6
Kittson,President,,IND,Ralph Nader,43
Kittson,President,,LIB,Bob Barr,5
Kittson,President,,R,John McCain,1016
Kittson,President,,SWP,,0
Kittson,President,,WI,WRITE-IN,2
Kittson,U.S. Senate,,CP,,10
Kittson,U.S. Senate,,DFL,Al Franken,1168
Kittson,U.S. Senate,,IND,Dean Barkley,278
Kittson,U.S. Senate,,LIB,,18
Kittson,U.S. Senate,,R,Norm Coleman,1077
Kittson,U.S. Senate,,WI,WRITE-IN,2
Koochiching,President,,CP,,35
Koochiching,President,,DFL,Barack Obama,3649
Koochiching,President,,GP,Cynthia McKinney,14
Koochiching,President,,IND,Ralph Nader,88
Koochiching,President,,LIB,Bob Barr,28
Koochiching,President,,R,John McCain,2962
Koochiching,President,,SWP,,2
Koochiching,President,,WI,WRITE-IN,24
Koochiching,U.S. Senate,,CP,,32
Koochiching,U.S. Senate,,DFL,Al Franken,3090
Koochiching,U.S. Senate,,IND,Dean Barkley,721
Koochiching,U.S. Senate,,LIB,,31
Koochiching,U.S. Senate,,R,Norm Coleman,2847
Koochiching,U.S. Senate,,WI,WRITE-IN,4
Lac Qui Parle,President,,CP,,22
Lac Qui Parle,President,,DFL,Barack Obama,2160
Lac Qui Parle,President,,GP,Cynthia McKinney,5
Lac Qui Parle,President,,IND,Ralph Nader,66
Lac Qui Parle,President,,LIB,Bob Barr,6
Lac Qui Parle,President,,R,John McCain,1912
Lac Qui Parle,President,,SWP,,4
Lac Qui Parle,President,,WI,WRITE-IN,17
Lac Qui Parle,U.S. Senate,,CP,,12
Lac Qui Parle,U.S. Senate,,DFL,Al Franken,1746
Lac Qui Parle,U.S. Senate,,IND,Dean Barkley,779
Lac Qui Parle,U.S. Senate,,LIB,,19
Lac Qui Parle,U.S. Senate,,R,Norm Coleman,1611
Lac Qui Parle,U.S. Senate,,WI,WRITE-IN,3
Lake,President,,CP,,17
Lake,President,,DFL,Barack Obama,4174
Lake,President,,GP,Cynthia McKinney,19
Lake,President,,IND,Ralph Nader,75
Lake,President,,LIB,Bob Barr,19
Lake,President,,R,John McCain,2636
Lake,President,,SWP,,0
Lake,President,,WI,WRITE-IN,29
Lake,U.S. Senate,,CP,,16
Lake,U.S. Senate,,DFL,Al Franken,3549
Lake,U.S. Senate,,IND,Dean Barkley,863
Lake,U.S. Senate,,LIB,,31
Lake,U.S. Senate,,R,Norm Coleman,2432
Lake,U.S. Senate,,WI,WRITE-IN,8
Lake of the Woods,President,,CP,,5
Lake of the Woods,President,,DFL,Barack Obama,971
Lake of the Woods,President,,GP,Cynthia McKinney,6
Lake of the Woods,President,,IND,Ralph Nader,30
Lake of the Woods,President,,LIB,Bob Barr,11
Lake of the Woods,President,,R,John McCain,1278
Lake of the Woods,President,,SWP,,3
Lake of the Woods,President,,WI,WRITE-IN,9
Lake of the Woods,U.S. Senate,,CP,,19
Lake of the Woods,U.S. Senate,,DFL,Al Franken,770
Lake of the Woods,U.S. Senate,,IND,Dean Barkley,258
Lake of the Woods,U.S. Senate,,LIB,,14
Lake of the Woods,U.S. Senate,,R,Norm Coleman,1204
Lake of the Woods,U.S. Senate,,WI,WRITE-IN,1
Le Sueur,President,,CP,,32
Le Sueur,President,,DFL,Barack Obama,6994
Le Sueur,President,,GP,Cynthia McKinney,38
Le Sueur,President,,IND,Ralph Nader,225
Le Sueur,President,,LIB,Bob Barr,37
Le Sueur,President,,R,John McCain,7636
Le Sueur,President,,SWP,,9
Le Sueur,President,,WI,WRITE-IN,38
Le Sueur,U.S. Senate,,CP,,45
Le Sueur,U.S. Senate,,DFL,Al Franken,5270
Le Sueur,U.S. Senate,,IND,Dean Barkley,3268
Le Sueur,U.S. Senate,,LIB,,72
Le Sueur,U.S. Senate,,R,Norm Coleman,6321
Le Sueur,U.S. Senate,,WI,WRITE-IN,8
Lincoln,President,,CP,,32
Lincoln,President,,DFL,Barack Obama,1517
Lincoln,President,,GP,Cynthia McKinney,6
Lincoln,President,,IND,Ralph Nader,60
Lincoln,President,,LIB,Bob Barr,7
Lincoln,President,,R,John McCain,1491
Lincoln,President,,SWP,,0
Lincoln,President,,WI,WRITE-IN,13
Lincoln,U.S. Senate,,CP,,16
Lincoln,U.S. Senate,,DFL,Al Franken,1272
Lincoln,U.S. Senate,,IND,Dean Barkley,341
