year,office,district,party,candidate
2024,State House,66B,R,Jay Hill
2024,State House,67A,DFL,Liz Lee
2024,State House,67A,R,Scott Hesselgrave
2024,State House,67B,DFL,Jay Xiong
2024,State House,67B,R,Sharon L. Anderson
2024,State House,6A,DFL,Earl Butenhoff
2024,State House,6A,R,Ben Davis
2024,State House,6B,DFL,Emily LeClaire
2024,State House,6B,R,Joshua (Josh) Heintzeman
2024,State House,7A,DFL,Aron Schnaser
2024,State House,7A,R,Spencer Igo
2024,State House,7B,DFL,Lorrie Janatopoulos
2024,State House,7B,R,Cal Warwas
2024,State House,8A,DFL,Peter Johnson
2024,State House,8A,R,Mark McGrew
2024,State House,8B,DFL,Alicia Kozlowski
2024,State House,8B,R,Shawn Savela
2024,State House,9A,DFL,Michael Ziomko
2024,State House,9A,R,Jeff Backer
2024,State House,9B,DFL,Jason Satter
2024,State House,9B,R,Thomas M. (Tom) Murphy
2024,U.S. House,1,DFL,Rachel Bohman
2024,U.S. House,1,R,Brad Finstad
2024,U.S. House,2,DFL,Angie Craig
2024,U.S. House,2,R,Joe Teirab
2024,U.S. House,3,DFL,Kelly Morrison
2024,U.S. House,3,R,Tad Jude
2024,U.S. House,4,DFL,Betty McCollum
2024,U.S. House,4,R,May Lor Xiong
2024,U.S. House,5,DFL,Ilhan Omar
2024,U.S. House,5,R,Dalia Al-Aqidi
2024,U.S. House,6,DFL,Jeanne Hendricks
2024,U.S. House,6,R,Tom Emmer
2024,U.S. House,7,DFL,A. John Peters
2024,U.S. House,7,R,Michelle L. Fischbach
2024,U.S. House,8,DFL,Jennifer Schultz
2024,U.S. House,8,R,Pete Stauber
2024,State Senate,45,DFL,Ann Johnson Stewart
2024,State Senate,45,R,Kathleen Fowke
