county,precinct,office,district,candidate,party,votes
Aitkin,Haugen Twp,State House,7A,WRITE-IN,WI,0
Aitkin,Haugen Twp,Constitutional Amendment 1,NA,YES,NP,97
Aitkin,Haugen Twp,Constitutional Amendment 1,NA,NO,NP,30
Aitkin,Hazelton Twp,State Senate,10,DIST Candidate,DIST,10
Aitkin,Hazelton Twp,President,NA,Donald Trump,R,390
Aitkin,Hazelton Twp,President,NA,Kamala Harris,DFL,196
Aitkin,Hazelton Twp,President,NA,Chase Oliver,LIB,1
Aitkin,Hazelton Twp,President,NA,Cornel West,WTP,3
Aitkin,Hazelton Twp,President,NA,Jill Stein,G,0
Aitkin,Hazelton Twp,President,NA,Claudia De la Cruz,SLP,0
Aitkin,Hazelton Twp,President,NA,Rachele Fruit,SWP,0
Aitkin,Hazelton Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Aitkin,Hazelton Twp,President,NA,Other Independent,IND,1
Aitkin,Hazelton Twp,President,NA,WRITE-IN,WI,5
Aitkin,Hazelton Twp,U.S. Senate,NA,Royce White,R,355
Aitkin,Hazelton Twp,U.S. Senate,NA,Amy Klobuchar,DFL,223
Aitkin,Hazelton Twp,U.S. Senate,NA,Rebecca Whiting,LIB,11
Aitkin,Hazelton Twp,U.S. Senate,NA,Steve Carlson,IA,5
Aitkin,Hazelton Twp,U.S. Senate,NA,WRITE-IN,WI,0
Aitkin,Hazelton Twp,U.S. House,8,Pete Stauber,R,390
Aitkin,Hazelton Twp,U.S. House,8,Jennifer Schultz,DFL,199
Aitkin,Hazelton Twp,U.S. House,8,WRITE-IN,WI,0
Aitkin,Hazelton Twp,State Senate,10,Not on ballot,R,0
Aitkin,Hazelton Twp,State Senate,10,Not on ballot,DFL,0
Aitkin,Hazelton Twp,State Senate,10,WRITE-IN,WI,0
Aitkin,Hazelton Twp,State House,10A,Ron Kresha,R,383
Aitkin,Hazelton Twp,State House,10A,Julia Samsal Hipp,DFL,191
Aitkin,Hazelton Twp,State House,10A,WRITE-IN,WI,0
Aitkin,Hazelton Twp,Constitutional Amendment 1,NA,YES,NP,416
Aitkin,Hazelton Twp,Constitutional Amendment 1,NA,NO,NP,141
Aitkin,Hill City,State Senate,7,DIST Candidate,DIST,7
Aitkin,Hill City,President,NA,Donald Trump,R,212
Aitkin,Hill City,President,NA,Kamala Harris,DFL,105
Aitkin,Hill City,President,NA,Chase Oliver,LIB,2
Aitkin,Hill City,President,NA,Cornel West,WTP,1
Aitkin,Hill City,President,NA,Jill Stein,G,1
Aitkin,Hill City,President,NA,Claudia De la Cruz,SLP,0
Aitkin,Hill City,President,NA,Rachele Fruit,SWP,0
Aitkin,Hill City,President,NA,Robert F. Kennedy Jr.,JFA,0
Aitkin,Hill City,President,NA,Other Independent,IND,0
Aitkin,Hill City,President,NA,WRITE-IN,WI,0
Aitkin,Hill City,U.S. Senate,NA,Royce White,R,168
Aitkin,Hill City,U.S. Senate,NA,Amy Klobuchar,DFL,136
Aitkin,Hill City,U.S. Senate,NA,Rebecca Whiting,LIB,6
Aitkin,Hill City,U.S. Senate,NA,Steve Carlson,IA,4
Aitkin,Hill City,U.S. Senate,NA,WRITE-IN,WI,0
Aitkin,Hill City,U.S. House,8,Pete Stauber,R,201
Aitkin,Hill City,U.S. House,8,Jennifer Schultz,DFL,112
Aitkin,Hill City,U.S. House,8,WRITE-IN,WI,0
Aitkin,Hill City,State Senate,7,Not on ballot,R,0
Aitkin,Hill City,State Senate,7,Not on ballot,DFL,0
